drug	method	column	row	match_not
Rifampicin	Ariba	1	1	Match with phenotype
Rifampicin	Ariba	1	2	Not match with phenotype
Rifampicin	Ariba	1	3	Match with phenotype
Rifampicin	Ariba	1	4	Match with phenotype
Rifampicin	Ariba	1	5	Match with phenotype
Rifampicin	Ariba	1	6	Match with phenotype
Rifampicin	Ariba	1	7	Match with phenotype
Rifampicin	Ariba	1	8	Match with phenotype
Rifampicin	Ariba	1	9	Match with phenotype
Rifampicin	Ariba	1	10	Match with phenotype
Rifampicin	Ariba	1	11	Match with phenotype
Rifampicin	Ariba	1	12	Match with phenotype
Rifampicin	Ariba	1	13	Match with phenotype
Rifampicin	Ariba	1	14	Match with phenotype
Rifampicin	Ariba	1	15	Match with phenotype
Rifampicin	Ariba	1	16	Match with phenotype
Rifampicin	Ariba	2	1	Match with phenotype
Rifampicin	Ariba	2	2	Match with phenotype
Rifampicin	Ariba	2	3	Match with phenotype
Rifampicin	Ariba	2	4	Match with phenotype
Rifampicin	Ariba	2	5	Match with phenotype
Rifampicin	Ariba	2	6	Match with phenotype
Rifampicin	Ariba	2	7	Match with phenotype
Rifampicin	Ariba	2	8	Match with phenotype
Rifampicin	Ariba	2	9	Match with phenotype
Rifampicin	Ariba	2	10	Match with phenotype
Rifampicin	Ariba	2	11	Match with phenotype
Rifampicin	Ariba	2	12	Match with phenotype
Rifampicin	Ariba	2	13	Match with phenotype
Rifampicin	Ariba	2	14	Match with phenotype
Rifampicin	Ariba	2	15	Match with phenotype
Rifampicin	Ariba	2	16	Match with phenotype
Rifampicin	Ariba	3	1	Match with phenotype
Rifampicin	Ariba	3	2	Match with phenotype
Rifampicin	Ariba	3	3	Match with phenotype
Rifampicin	Ariba	3	4	Match with phenotype
Rifampicin	Ariba	3	5	Match with phenotype
Rifampicin	Ariba	3	6	Match with phenotype
Rifampicin	Ariba	3	7	Match with phenotype
Rifampicin	Ariba	3	8	Match with phenotype
Rifampicin	Ariba	3	9	Match with phenotype
Rifampicin	Ariba	3	10	Match with phenotype
Rifampicin	Ariba	3	11	Match with phenotype
Rifampicin	Ariba	3	12	Match with phenotype
Rifampicin	Ariba	3	13	Match with phenotype
Rifampicin	Ariba	3	14	Match with phenotype
Rifampicin	Ariba	3	15	Not match with phenotype
Rifampicin	Ariba	3	16	Match with phenotype
Rifampicin	Ariba	4	1	Match with phenotype
Rifampicin	Ariba	4	2	Match with phenotype
Rifampicin	Ariba	4	3	Match with phenotype
Rifampicin	Ariba	4	4	Match with phenotype
Rifampicin	Ariba	4	5	Match with phenotype
Rifampicin	Ariba	4	6	Match with phenotype
Rifampicin	Ariba	4	7	Match with phenotype
Rifampicin	Ariba	4	8	Match with phenotype
Rifampicin	Ariba	4	9	Match with phenotype
Rifampicin	Ariba	4	10	Match with phenotype
Rifampicin	Ariba	4	11	Match with phenotype
Rifampicin	Ariba	4	12	Match with phenotype
Rifampicin	Ariba	4	13	Match with phenotype
Rifampicin	Ariba	4	14	Match with phenotype
Rifampicin	Ariba	4	15	Match with phenotype
Rifampicin	Ariba	4	16	Match with phenotype
Rifampicin	Ariba	5	1	Match with phenotype
Rifampicin	Ariba	5	2	Match with phenotype
Rifampicin	Ariba	5	3	Match with phenotype
Rifampicin	Ariba	5	4	Match with phenotype
Rifampicin	Ariba	5	5	Match with phenotype
Rifampicin	Ariba	5	6	Match with phenotype
Rifampicin	Ariba	5	7	Match with phenotype
Rifampicin	Ariba	5	8	Match with phenotype
Rifampicin	Ariba	5	9	Match with phenotype
Rifampicin	Ariba	5	10	Match with phenotype
Rifampicin	Ariba	5	11	Match with phenotype
Rifampicin	Ariba	5	12	Match with phenotype
Rifampicin	Ariba	5	13	Match with phenotype
Rifampicin	Ariba	5	14	Match with phenotype
Rifampicin	Ariba	5	15	Match with phenotype
Rifampicin	Ariba	5	16	Match with phenotype
Rifampicin	Ariba	6	1	Match with phenotype
Rifampicin	Ariba	6	2	Match with phenotype
Rifampicin	Ariba	6	3	Match with phenotype
Rifampicin	Ariba	6	4	Match with phenotype
Rifampicin	Ariba	6	5	Match with phenotype
