name,AAC_2___Ic.match,AAC_6___Ii.match,ANT_4___Ib.match,APH_3____Ib.match,APH_6__Id.match,ArmR.match,Enterococcus_faecalis_chloramphenicol+.match,ErmC.match,Erm_37_.match,Erm_41_.match,MvaT.match,Mycobacterium_-.match,Mycobacterium_-_1.match,Mycobacterium_-_2.match,Mycobacterium_abscessus_16S+.match,Neisseria_-.match,Propionibacterium_acnes_16S.match,Pseudomonas_aeruginosa_catB7.match,Staphylococcus_aureus_23S.match,TEM_-.match,basS.match,blaZ.match,dfrC.match,dfrG.match,efpA.match,embA.match,embB.match,embC.match,embR.match,emrE.match,ethA.match,folC.match,fusB.match,gidB.match,gyrA_11.match,inhA.match,iniA.match,iniC.match,kasA.match,katG.match,mepR.match,mfpA.match,mgrA.match,mphC.match,msrA.match,mtrA.match,murA_4.match,pncA.match,qac-.match,ribD.match,rpoB_3.match,rpsL.match,soxR_2.match,tet_K_.match,thyA.match,tlyA.match
aribaRun/outRun_ERR067576/report.tsv,yes,no,no,no,no,no,no,no,yes,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,yes,yes,no,no,no,yes,no,no,no,no,no
aribaRun/outRun_ERR067577/report.tsv,yes,no,no,no,no,no,no,no,yes,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,yes,yes,no,no,no,yes,yes,no,no,no,no
aribaRun/outRun_ERR067578/report.tsv,yes,no,no,no,no,no,no,no,yes,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,yes,yes,no,no,no,yes,no,no,no,no,no
aribaRun/outRun_ERR067580/report.tsv,yes,no,no,no,no,no,no,no,yes,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,yes,yes,no,no,no,yes,no,no,no,no,no
aribaRun/outRun_ERR067581/report.tsv,yes,no,no,no,no,no,no,no,yes,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,yes,yes,yes,no,no,yes,no,no,no,no,no
aribaRun/outRun_ERR067582/report.tsv,yes,no,no,no,no,no,no,no,yes,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,yes,yes,no,no,no,yes,yes,no,no,no,no
aribaRun/outRun_ERR067583/report.tsv,yes,no,no,no,no,no,no,no,yes,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,yes,yes,no,no,no,yes,no,no,no,no,no
aribaRun/outRun_ERR067584/report.tsv,yes,no,no,no,no,no,no,no,yes,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,yes,no,yes,no,no,no,yes,yes,no,no,no,yes,yes,no,no,no,no
aribaRun/outRun_ERR067585/report.tsv,yes,no,no,no,no,no,no,no,yes,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,yes,no,yes,yes,no,yes,no,no,no,yes,yes,no,no,no,yes,no,no,no,yes,no
aribaRun/outRun_ERR067586/report.tsv,yes,no,no,no,no,no,no,no,yes,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,yes,yes,no,no,no,yes,yes,no,no,no,no
